0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-700.04803,58.141853,-2.5586064,15.606677,4.6350527,3.5391414,-6.117565,-0.38244817,-13.615901,-0.36257148,-1.5083561,-0.88440007,-0.019431375,-1.9431808,-1.1695703,2.2041264,-5.30862,-0.8052728,-2.2019832,-0.21287861,-6.491991,-0.11663349,-2.5802991,-4.4166455,-1.6603625,-0.9539894,-4.619572,-0.077804245,-1.7321768,-0.34443232,-1.482878,-2.7266295,-2.0602062,-2.5263202,-2.4850087,-2.2882392,-0.3312541,-2.5409374,-2.7235923,-2.3176184,1
-695.1851,58.72073,-4.8757935,19.315144,5.611961,2.9712067,-4.3853626,-2.4032483,-14.377567,1.2576109,-1.6031672,-0.36167076,-1.0886658,-1.3438928,-1.8727345,1.9826685,-5.9008403,0.23137909,-2.9789,1.4163179,-6.1801376,-0.30422053,-2.4289923,-4.418494,-0.814761,-1.5819021,-4.771959,1.1700104,-2.1047919,-0.10762903,-1.1224827,-3.063973,-1.7118427,-2.9297943,-2.5198088,-1.3286662,-0.74735874,-3.6443973,-2.6420186,-2.8815246,1
-693.6901,61.060158,-2.8490763,16.58725,2.4757419,3.9800255,-4.8036737,-2.7741344,-12.816862,-1.3138357,-1.6425294,-0.7880761,-0.056478675,-1.7009208,-3.5722902,2.2957795,-6.1905727,-2.0199172,-0.8314705,0.84751123,-5.9624844,-0.5472872,-2.3049047,-3.1189659,-1.4301326,-0.30523977,-4.102889,-0.466745,-1.9492196,-0.5910992,-1.4518621,-2.540189,-1.9471494,-2.3866084,-2.2510247,-2.516198,-0.54867584,-3.3002567,-2.9285083,-2.8335,1
-687.24304,58.965412,-0.2753052,16.264652,4.0409164,5.8489757,-4.3569236,-4.3022356,-12.883505,-0.8712497,-1.0777285,0.6024488,-1.3904735,-0.973914,-2.7824948,3.2965002,-5.6615033,-0.8976627,-1.066045,0.2000819,-5.4759035,-1.3394004,-1.7360635,-2.396754,-2.23729,-0.92645544,-4.143278,-0.14959851,-1.9812207,0.21101165,-2.1090176,-2.5497575,-2.4528835,-3.2371821,-2.7362702,-1.9837608,-0.40397882,-3.0163662,-2.8396888,-3.9572291,1
-729.57996,65.91619,-0.40742576,18.537954,4.7366405,5.2257648,-6.4563894,-0.71481043,-12.64829,-2.119253,-1.5633702,-0.7400905,-1.6387283,-1.2993119,-2.2045703,3.1792803,-6.8624115,0.4869216,-2.2152781,-0.6931428,-5.3215375,-0.8028655,-3.085015,-4.084926,-1.8012387,-1.2252603,-4.6674423,1.1127504,-2.7251627,0.13497795,-1.6094292,-1.7387109,-1.3255609,-3.0478787,-1.1141024,-1.0988085,-1.0921042,-2.4340825,-3.135654,-3.4389791,2
-709.6865,70.090385,-1.0689304,14.438874,6.5478773,4.1579547,-7.413512,-1.82622,-11.025913,-2.258931,-0.63299185,-0.1691711,-2.2294607,-1.6352786,-3.2171695,2.5612886,-6.170143,-1.0867716,-1.6838093,-0.69893825,-5.1550922,-1.3700777,-2.8111882,-4.156491,-2.1026134,-1.4985522,-4.1796756,-0.035008233,-2.4440582,-0.27395046,-2.8189092,-2.9307573,-2.7351081,-4.1128235,-3.0386553,-1.986854,-1.3496951,-3.835365,-3.4986913,-4.861014,2
-699.9165,69.05924,-2.9845903,17.488914,2.1857555,6.562433,-4.8850527,-1.3770629,-11.910106,-1.489853,-0.9043213,1.0506334,-1.0451858,-2.2500656,-0.56447554,1.9561428,-7.912457,-1.2261853,-1.2891272,-0.70303994,-6.7232814,-0.8343622,-2.7882233,-2.9113312,-2.5287204,-0.98170584,-5.3714905,0.74384105,-3.5842803,-0.44189727,-2.7380073,-2.2175715,-2.0335288,-3.6762097,-3.621167,-2.6564775,-1.5188164,-2.979066,-4.079129,-3.5605662,2
-701.2548,72.46029,-2.626683,17.355131,4.750651,5.5525894,-3.9800866,-2.5104337,-10.926569,-1.5176867,-1.6994507,0.81323105,-0.72650933,-1.4832095,-1.3036149,2.883426,-6.9538193,-0.5626178,-1.5556724,-0.11484324,-7.0732675,-0.9353792,-2.7697535,-1.7825692,-2.7026103,-0.6118186,-4.2538967,-0.016573003,-3.555319,-0.2851262,-3.0568216,-2.207743,-1.7209594,-3.1632743,-2.9188337,-2.3950593,-0.5909535,-2.9986188,-2.8504744,-3.9948616,2
-737.1616,74.88167,-0.085661694,18.107159,5.129498,5.868424,-7.591034,0.8335533,-9.865348,-1.151275,-1.110042,2.8614292,-2.8342927,-1.3606291,-2.024744,2.361805,-3.5719514,-1.1406132,-1.6189792,2.03323,-7.8122826,0.5877808,-3.0783343,-3.7097554,-1.9797417,-0.8637207,-3.0465248,0.6681049,-2.804695,-0.35130116,-2.920537,-3.553971,-3.08781,-2.871354,-4.5110664,-0.3559082,-2.0319257,-3.309246,-3.9585876,-4.088398,2
-700.8251,71.64476,-4.7149067,16.082224,2.7951205,4.557083,-8.393302,-2.3456368,-11.432027,-1.5738155,-0.4118554,1.398301,-3.7397115,-2.2864492,-2.2605288,1.0399413,-5.6999507,-0.78033096,-1.9741527,0.7483934,-7.194042,0.7104507,-2.601641,-3.4220655,-2.4859874,-1.5924455,-4.407141,-0.17712627,-2.3359492,-1.1411586,-3.4238176,-3.0683713,-3.5843346,-3.6017609,-4.51814,-1.9208233,-1.3226941,-3.0734503,-3.627471,-4.250219,2
-708.2326,74.10721,-0.5021691,17.105127,0.59179354,10.74642,-9.613304,-0.298065,-12.664794,-0.74712783,-1.5684304,4.8531775,-2.7702744,-0.93393195,-1.0874593,1.6885219,-6.5880947,0.01247624,-3.3546999,1.085622,-8.563666,0.6934755,-2.0671299,-3.9840236,-2.7926729,0.5993058,-5.1865497,1.3339261,-4.2077746,-0.36112532,-3.6087573,-2.617798,-2.2963881,-3.5097318,-3.718128,-1.138862,-0.9322264,-4.1254635,-4.0264354,-3.6107526,2
-694.5257,70.342674,-8.521249,19.486094,1.9052764,7.656219,-8.919093,-3.8928692,-13.921886,0.25105566,0.038722042,2.5341957,-3.5076714,-2.5343807,-3.0848918,2.623467,-6.7957306,-0.41020525,-2.27642,1.3503609,-8.195448,-0.6259136,-2.288722,-3.200354,-1.6735828,-0.16233519,-4.309275,0.8374139,-2.603379,-1.127698,-3.9656734,-3.445097,-3.3658822,-3.2983801,-3.731346,-1.2852523,-0.946999,-3.9182718,-3.8673308,-4.6637473,2
-648.1975,66.34978,-7.5913267,15.73868,1.1630248,0.08424174,-8.549194,-3.8719177,-14.144294,0.07878683,-3.587177,-4.6779585,-0.7642507,-2.9070745,-3.9959607,3.5650752,-9.224291,-1.8221726,-3.3167453,-1.8685093,-6.4095964,0.31401265,-3.2801807,-4.6046524,-2.7100155,-2.110494,-5.0124025,-0.089527056,-3.7300057,-1.5023547,-2.4811378,-3.1827502,-2.0876217,-4.3062673,-3.669528,-2.9741693,-1.918064,-1.3872443,-1.4546448,-1.4123958,3
